output_all
say	who	Neg	He would n't say who ... until two days after the election , when the president and Lebed stood together in the Kremlin , partners now a deal completed so quickly that it had to be precooked and Yeltsin was asked if this was the man , the future president he 'd been talking about .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 97945
know	why	Neg	I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 102772
estimate	how many	No	If Lockheed Martin wins , the contract almost surely will bring new jobs to the Fort Worth plant , but Wheaton declined to estimate how many .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 105982
know	what	Neg	Miller said something changed to cause the outbreak , but scientists do n't know what .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 107544
know	by how much	Neg	Officials of the MTA and its subway and bus subsidiary , the Transit Authority , say the plan should eventually increase the number of transit riders though they do not know by how much and provide a much needed boost to the bus system , which has been losing riders for decades .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 110164
know	what	Neg	Miller said something changed to cause the outbreak , but scientists do n't know what .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 112299
know	why	Neg	Here Dudley was shot , but we do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 117697
say	how many	No	The Air Force also has airmen stationed at Riyadh , Saudi Arabia , but officials declined to say how many .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 129155
guess	how many times	Neg	`` A move I 'd made over and over again I ca n't guess how many times , '' said Keswick .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 129350
say	which one	Neg	He did n't say which one .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 132794
see	why	No	It was easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 137531
guess	what	No	But guess what ?	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 139704
say	by whom	Neg	`` I do feel somewhat used , '' Lott said , though he would not say by whom .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 149756
know	when yet	Neg	We do n't know when yet , but it 's inevitable . ''	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 154540
matter	what	No	But if somebody is determined to get into trouble then they will , no matter what .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 156582
wonder	how	Neg	But now there is not a day I get up that I do n't wonder how could I be so stupid . ''	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 157299
say	from whom	Neg	He says he 's got $ 20,000 promised , but he wo n't say from whom .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 158712
see	why	No	Riding on the Eurostar , it 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 159602
know	why	No	`` And it 's very difficult to know why . ''	Treebanks/NYT-Parsed/nyt_eng_199606.tgrep2 160738
say	how long	Neg	I ca n't say how long .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 99
know	what	No	Reggie Jefferson is the hottest hitter in baseball , batting .379 and collecting more hits than Carter has you know what .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 594
say	from whom	Neg	He says he 's got $ 20,000 promised , but he wo n't say from whom .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 1877
see	why	No	Riding on the Eurostar , it 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 2676
do	what	No	`` When we talked to insurance companies about getting some sort of coverage for our business , a lot of the people laughed and said , ` you do what ? '' '	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 8649
imagine	how	Neg	Somehow David still clings to that , though I ca n't imagine how .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 14254
know	why	Neg	And I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 15397
understand	why	Neg	Many times tragedy happens and we do n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 18819
understand	why	No	`` The strategy makes sense , yet they have n't been able to execute it and I do n't really understand why , '' said David Wu , an analyst with Chicago Corp. in New York .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 19811
figure	where	No	Or that the will is around somewhere , but nobody can figure out where .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 26307
explain	why	No	Which might explain why , when the crowd started its dash upstairs , Barrow went it alone to a second stairway on the right and was one of the first people to buy the Jordans .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 31551
say	how late	Neg	She 's an unpretentious woman in her late 30s -LRB- she wo n't say how late -RRB- , with a quick laugh , misty blue-green eyes and a strong chin .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 34386
decide	how soon	No	So he was devastated when he received the call from his former landlord telling him that he would have to move and that a judge would decide how soon .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 36890
know	why	Neg	`` If a horse appears lame and we do n't know why , we can see there 's a problem and do n't have to wait for the bone to break , '' Allen said .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 37609
know	how	Neg	I honestly do n't know how , '' said defender Robin Fraser , who was part of the Galaxy 's forward push but was back in time to witness the goal .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 38262
know	exactly how	Neg	His impulse is to plow forward toward a free-market democracy , but he does n't know exactly how .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 47455
know	when	Neg	`` I do n't know when .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 53408
say	when	Neg	A company spokeswoman said the board , set up in May 1995 to study the issue , was meeting and will issue a statement later today , but she could not say when .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 54602
pinpoint	where	No	`` The 3-D is really key to pinpoint where '' to drill for oil and gas .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 67301
know	how different	Neg	Jobs did n't know how different .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 69639
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 69949
say	why	No	A clerk for Judge Tauro , Catherine Gawlick , confirmed that Tauro refused to rule in Hertz 's favor and she declined to say why .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 70703
vote	what	No	`` I always vote what '' management recommends , said Joseph Posner , a Kansas City retiree who owns Kansas City Power stock .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 71762
know	how different	Neg	Jobs did n't know how different .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 76502
say	by how much	Neg	The union said BA had also agreed to raise the pay scale for new pilots , though it did n't say by how much .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 90439
remember	when	No	This first phase of the move is over , to be replayed as , `` Do you remember when ... ? ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 90732
say	how much	No	The lawsuit has cost USC hundreds of thousands of dollars ; the university refuses to say how much .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 97295
say	where	Neg	It just does n't say where , except that it is looking at potential U.K. generating projects and wo n't build nuclear reactors `` for a number of years . ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 100641
see	how	Neg	`` I 'd like to move to a better place , '' he said , `` but I do n't see how . ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 109915
know	why	Neg	`` We were in the right place at the right time , but I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 111943
understand	how	No	It 's hard to understand how , but they 're building toward something .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 113194
matter	who	Neg	`` It does n't matter who or what you are .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 118780
know	why	Neg	I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 133072
say	after that	No	What do you say after that ?	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 134808
figure	why	No	He 's still trying to figure out why .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 140401
guess	what	No	Well , guess what : The rest of America has finally discovered them .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 145351
guess	what	No	She was on her way back to a second Olympics and guess what ?	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 148695
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 152051
wonder	why	No	The Chinese must wonder why , Van Dyken said .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 153939
say	which one	Neg	It said that at least one member of the Viper Militia frequented gun shows , but did not say which one .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 156063
say	how much	No	Mutombo did not want to say how much , but clearly he is a large man , with a large heart and a pocketbook to match .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 156740
explain	why	No	I 'll explain why in a moment .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 165710
say	when	Neg	You 'll notice it did n't say when .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 172700
say	how much	No	He declined to say how much `` only because I do n't want Bob to know . ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 177485
figure	why	No	It does n't take an international trade lawyer to figure out why : The conflicting evidence about what constitutes an open or closed market is so complex it would have have required months or years of hearings .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 180803
know	when	Neg	I do n't know when .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 182927
know	how much	Neg	`` But I just did n't know how much .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 183721
say	exactly what	No	I 'm not going to say exactly what .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 186832
know	how	Neg	I just do n't know how .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 199742
know	how many	Neg	`` We are confident that there are a lot of bodies down there , but we just do n't know how many right now , '' Kallstrom said .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 200800
say	by how much	No	A CAA spokesman said the airline had requested fare increases on its Heathrow routes in March , declining to say by how much .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 203231
explain	why	No	`` If he does n't , he 'll have to explain why . ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 209477
explain	why	No	`` If he does n't , he 'll have to explain why . ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 210268
explain	why	No	`` If he does n't , he 'll have to explain why . ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 211729
explain	why	No	`` This is significant because it helps explain why , with economic indicators showing that overall personal income has risen in California , polls show a growing number of people are worried about job security and paying their bills .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 215997
know	why	Neg	`` Then I started to feel tight and just died , and I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 221768
pinpoint	why	No	Allegations that police have used excessive force have increased since 1991 and officials have not been able to pinpoint why .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 222955
know	exactly when	Neg	We just do n't know exactly when . ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 223951
say	how much	No	Earlier this week , when the Globe questioned Cellucci about his large undisclosed credit card debts , he said he carries balances on American Express , Visa and Mastercard credit cards but refused to say how much .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 235381
say	how much	Neg	She would n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 235565
know	why	Neg	Do n't know why , except that it would seem most Europeans have no use for them .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 237273
estimate	how much	Neg	When he made his comments earlier this month , Morales went on to say the majority of the money being laundered was coming through Texas banks in Houston , San Antonio and the Rio Grande Valley , although he would not estimate how much .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 237579
know	when	Neg	He just did n't know when .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 242283
know	why	Neg	`` We do n't know why , it 's a gut feeling .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 244669
figure	why	No	It should n't take an accountant to figure out why .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 247858
tell	how many	No	`` But it 's hard to tell how many , because everybody 's so scared to talk to each other . ''	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 254236
say	where	Neg	from an inconspicuous spot -LRB- `` Do n't say where ! '' -RRB-	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 254624
remember	which	Neg	Diamandopoulos ' cars went from an Oldsmobile or Cadillac he could not remember which to a Mercedes .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 254840
know	how many years	Neg	`` If you follow athletics , then you should know I have been at the top for I do n't know how many years .	Treebanks/NYT-Parsed/nyt_eng_199607.tgrep2 263549
know	what	Neg	`` I always knew there was something wrong with me , I just did n't know what .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 3208
see	why	No	But it 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 4892
Know	Who	No	He crossed the line an astonishing 2 1/2 strides ahead of Fredericks , a margin rendered in the realm of the surreal when you consider that the noble Namibian was himself clocked in 19.66 , which just happens to equal the old world record , held by You Know Who .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 12049
say	how many	Neg	The world 's largest fast-food chain said it plans to convert some outlets to McDonald 's restaurants , but it did n't say how many .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 14886
know	how	Neg	But we really do n't know how . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 21043
remember	which	Neg	Vin Scully , Dodgers broadcaster for 46 years , was overseas on vacation this week and learned of Tom Lasorda 's retirement when he picked up a newspaper Wednesday morning in London or Shannon , Ireland , he could n't remember which .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 22704
know	how	Neg	I do n't know how .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 28564
know	who	Neg	And since we do n't know who or what to blame , in recent years we have been going for the easy target government .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 33073
know	why	No	`` We took it out in the last two editions , but we got so many letters wanting to know why , we 've put it back in . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 35129
say	how many	Neg	He did not say how many .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 41226
say	how many	Neg	He did not say how many .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 42569
say	how	No	Chrysler , which has lobbied hard to ease the standard , said it will be in compliance next year , but declined to say how .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 44445
say	how much	Neg	The youngsters are sometimes paid in cash , though their employers will not say how much .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 45590
figure	why	Neg	`` Once , he wore a T-shirt longer than his sweatshirt , and we could n't figure out why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 45621
determine	how	No	He added that the company might resume providing some type of cash-flow information in the future , but right now it is `` rethinking its policy '' to determine how and whether it can `` mine the information in the right way . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 45730
know	to what level yet	Neg	We have improved , but I do n't know to what level yet . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 70772
know	how many	Neg	If enough users opt out I do n't know how many ; the number 's not disclosed the settlement will be voided .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 71495
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 71894
see	why	Neg	`` Otherwise , we could only see if letters were arriving late , but we could n't see why . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 73860
understand	why	Neg	`` A lot of them did n't want to give any recognition to the fact that there is diversity of opinion on this issue and I do n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 74166
see	why	No	Republicans like these images of Clinton , and it 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 75409
say	how much	Neg	Lacey said he 's losing money in San Francisco , as projected , but he would n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 80284
say	how much	Neg	Lacey said he 's losing money in San Francisco , as projected , but he would n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 80598
care	what	Neg	The implicit message was that if Bob Dole does not care what the platform says , neither should the public .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 84680
say	how much	Neg	Britton would n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 89084
know	why	No	You would n't necessarily know why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 91269
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 93914
know	why	Neg	And he does n't know why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 93959
see	why	No	We know people are having trouble just staying afloat , and it 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 95013
guess	what	No	`` I can talk to a group of Fortune 500 folks , and I look around the room and it 's a wonderful group , and guess what ? ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 96407
explain	why	Neg	On the first day of competition , WNPA was n't working and IBM could n't explain why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 120843
know	how long	No	`` It 's hard to know how long , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 125447
wonder	why	No	I wonder why , and ask Red Cavany , one of the producers of the show , about it .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 127711
explain	how exactly	Neg	I ca n't explain how exactly , but they are coming . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 128067
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 130173
know	why	No	No one seems to know why , but it may be that dental sealant simply has n't been promoted enough .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 136555
know	how	Neg	I want to put all this behind me , but I do n't know how .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 136937
say	when	Neg	But he does n't say when .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 138870
say	how much	Neg	The company said Lerner 's profitability improved , though it did n't say how much , as same-store sales rose 3 percent .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 143255
say	which one	Neg	Murphy said the city will lease the space to another airline , but would n't say which one .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 150874
know	why	Neg	`` I do n't know why , but I seem to have my best luck at cleaners , '' she says .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 151029
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 152150
say	when	Neg	He did n't say when .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 152511
know	how	Neg	He said he did n't know how . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 155701
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 156241
know	what	No	At one point a dispatcher advises the operator , `` Uh , you know what , ask one of the supervisors . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 156429
specify	how much	Neg	It said Barings helped boost earnings , although it did n't specify how much .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 160151
pinpoint	how	No	Bomb experts can analyze the bomb signature , which is a forensic fingerprint that could help pinpoint how and by whom a bomb had been made .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 168219
say	how much	Neg	At this point , Meder said , he is owed a lot of money , although he would n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 170321
explain	why	No	If you 're like I am , and have a devil of time ever getting enough sleep , the following letter may help to explain why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 170609
determine	when	No	`` Rarely does a company determine when '' an offering will begin , she said .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 171993
know	why	No	`` I 'd like to know why , '' Mrs. Cawthon said 15 minutes later , after her husband returned to the sparsely populated and clean beach spanning a mile between Neponsit and Belle Harbor .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 177157
know	why	Neg	I do n't know why , '' she said .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 181788
know	why	No	President Clinton and Bob Dole know why : Terrorists have learned to diversify .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 193550
know	why	Neg	Some time ago Nick Winnington , who says he 's `` not a committed Christian , '' hung a crucifix in his tiny semiprivate room , called a snug , next to the bar for reasons he best expresses as , `` I just do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 199884
remember	why	Neg	I 'm afraid I will be in a state and not remember why . '' '	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 203405
explain	why	No	Pressed to explain why , Lamm told a roomful of reporters : `` Everybody in this room knows why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 213702
indicate	how or when	Neg	Block executives said , however , that they remained intent on divesting the rest of Compuserve , though they did not indicate how or when .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 216041
specify	when	Neg	He added that he will complete his college education , but did not specify when .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 221176
know	how	Neg	Three reasons come up frequently : `` I do n't have time , '' `` I do n't know how '' and `` I do n't want to ! ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 221966
know	how	Neg	Unfortunately , one of the major stumbling blocks is that people often do n't know how .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 221971
see	why	No	LeSabre is America 's No. 1 big family car , and it is easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 223551
ask	what kind of trouble	Neg	I did n't ask what kind of trouble . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 224605
say	when	No	Ciampi said the lira will return to the European exchange mechanism , but declined to say when .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 231427
know	how	No	And , though she does n't believe we all need to gut fish all the time -LRB- she leaves the job to her husband when possible -RRB- , she does think we all need to know how and she is n't about to let us leave without at least attempting our new skills .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 231782
specify	how much	Neg	The Star acknowledges it paid Rowlands for her information but would not specify how much , saying only that it was more than the $ 12,000 that Rowlands said she got from Morris in their yearlong relationship .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 236218
explain	why	No	No one can explain why .	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 236391
know	why	Neg	I know he 's getting hit , but I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 236497
see	how	Neg	She wishes there were a solution , `` but I do n't see how , with so many people commuting these days . ''	Treebanks/NYT-Parsed/nyt_eng_199608.tgrep2 241702
guess	what	No	The National Weather Service has been keeping records on Phoenix for 100 years now , and guess what ?	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 127
explain	why	No	Lozano 's spokesman later revised that account , saying Brunt resigned voluntarily three days before the purge , but declined to explain why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 10223
say	why	No	He said the worker had been placed on administrative duty in December , but he refused to say why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 11254
see	how positive	No	`` To see how positive , we 'll have to see if other executives will be leaving as well . ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 16592
tell	why	Neg	State records do not tell why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 20906
see	how positive	No	`` To see how positive , we 'll have to see if other executives will be leaving as well . ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 23502
know	how	Neg	Three reasons come up frequently : `` I do n't have time , '' `` I do n't know how '' and `` I do n't want to ! ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 24546
know	how	Neg	Unfortunately , one of the major stumbling blocks is that people often do n't know how .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 24551
know	why	Neg	`` I 'm just being made an example of. I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 31932
remember	where	Neg	I ca n't remember where , but it started pouring rain in my car ... for like three minutes , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 36141
see	why	No	It 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 42969
see	why	No	It 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 43062
know	why	No	`` We feel we did all this really great stuff , and you do n't necessarily know why , '' he says .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 43610
know	why	Neg	I do n't know why , but that 's what I believe .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 49148
know	why	Neg	I do n't know why I feel that , I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 49639
guess	what	No	Well , guess what ?	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 54839
say	when	No	The Comcast Corp. , meanwhile , plans to offer cable-modem service in Baltimore by the end of this year , but still declines to say when .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 57231
guess	what	No	Well , guess what ?	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 60119
disclose	how many	Neg	So with $ 2 million of his own money , he moved out to Newport Beach -- his wife 's hometown -- and started managing money , collecting investors along the way , though he wo n't disclose how many .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 63868
disclose	how many	Neg	So with $ 2 million of his own money , Gordon moved out to Newport Beach -- his wife 's hometown -- and started managing money , collecting investors along the way , though he wo n't disclose how many .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 65119
do	what	No	`` You 'll do what ? ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 66169
understand	why	No	`` I 've seen something like 400,000 people from this country now living in Sweden , '' she said , `` and at the time , I tried to understand why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 68363
pick	which ones	No	`` I mean , how do you pick which ones ?	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 69217
tell	why	No	Pray tell why , I was asked by a couple of overly polite British officers .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 71791
know	why	Neg	`` Somebody is buying large blocks of our stock , but we do n't know why , '' Hagan said .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 74978
question	how	No	In his remarks to reporters later , Kemp added : `` I do n't think it 's politics to question how this effort , how this mission is being carried out .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 87221
see	why	No	To visit the area is to see why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 87745
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 92767
say	how much	No	Lehman intends to invest some of its own money in its new buyout fund , but declined to say how much .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 96309
guess	who	No	He was was not selected in the college draft but signed up with the Eagles as a free agent by guess who ?	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 97047
know	what	No	On the ice , he is trying to make chicken salad out of you know what .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 98550
understand	why	No	To understand why , let 's look at a hypothetical couple in their 40s .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 105557
know	why	No	`` I am so happy and do you know why ? ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 108063
figure	how	No	When the president tells the CIA to discreetly make a foreign leader disappear , the agency 's job is to salute smartly , skulk back to headquarters and try to figure out how in the world to do it .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 109943
understand	why	Neg	She also said she did n't understand why : `` Our 13-year-olds are having babies , our 14-year-olds are killing each other , our 17-year-olds are dying from AIDS , and our 18-year-olds are graduating from high school and they ca n't read . ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 114455
wonder	why	No	Electronic commerce on the Internet has not yet reached critical mass , and there is little wonder why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 132885
understand	why	No	`` Just looking at the track record of Thomson Multimedia , you can understand why , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 135448
